map,energy,population_deviation,estimated_vote_pct,pr_deviation,pr_seats,pr_pct,estimated_seats,estimated_seat_pct,fptp_seats,disproportionality,efficiency_gap,gamma,seats_bias,votes_bias,geometric_seats_bias,global_symmetry,declination,mean_median_statewide,mean_median_average_district,turnout_bias,lopsided_outcomes,competitive_districts,competitive_district_pct,responsiveness,responsive_districts,responsive_district_pct,overall_responsiveness,avg_dem_win_pct,avg_rep_win_pct,opportunity_districts,proportional_opportunities,coalition_districts,proportional_coalitions,reock,polsby_popper,county_splitting,district_splitting,proportionality,competitiveness,minority,compactness,splitting
000_518,1460923.419923,0.009000,0.494300,0.050300,7,0.500000,6.295400,0.449700,6,0.044600,0.038900,0.029900,0.028600,0.007100,0.027900,0.007700,3.501800,0.010000,0.010000,0.000100,0.002400,4.673900,0.333900,3.565100,4.673900,0.333900,8.801200,0.580100,0.570200,0.000000,5,7.589700,5,0.480900,0.314800,1.281100,2.094400,78,45,50,73,12
001_519,1568405.775839,0.012800,0.494300,0.060400,7,0.500000,6.154900,0.439600,6,0.054600,0.048900,0.039100,0.038900,0.009800,0.038500,0.010700,4.188700,0.020900,0.019400,0.001600,0.002400,4.530900,0.323600,3.716700,4.530900,0.323600,10.556200,0.581600,0.574000,0.000000,5,7.797200,5,0.513300,0.340800,1.269300,2.061200,73,43,50,80,14
002_520,1556477.387532,0.010600,0.494300,0.032500,7,0.500000,6.545500,0.467500,7,0.026700,0.021000,0.011600,0.012000,0.003300,0.011900,0.004400,1.414600,-0.007300,-0.007600,0.000200,-0.002600,4.619700,0.330000,3.645500,4.619700,0.330000,5.677500,0.570500,0.582400,0.773900,5,7.511900,5,0.505000,0.367000,1.262700,1.982400,87,44,58,84,15
003_521,1552284.221619,0.011900,0.494300,0.026500,7,0.500000,6.628300,0.473500,7,0.020800,0.015100,0.008400,0.008000,0.002400,0.007600,0.002900,1.481200,0.001600,0.002000,-0.000400,-0.001700,4.060800,0.290100,3.165500,4.060800,0.290100,4.642800,0.582800,0.593400,0.000000,5,6.681600,5,0.511000,0.319000,1.309500,2.197900,90,39,50,78,8
004_522,1544817.085045,0.007100,0.494300,0.067200,7,0.500000,6.058500,0.432800,6,0.061500,0.055800,0.041500,0.040600,0.008300,0.040100,0.010100,4.534800,0.003500,0.002400,0.001100,0.003600,5.915100,0.422500,4.500700,5.915100,0.422500,11.760100,0.572900,0.566600,0.000000,5,8.123800,5,0.534500,0.345400,1.285700,2.023500,69,56,50,80,12
005_523,1468607.929559,0.010600,0.494300,0.050500,7,0.500000,6.293300,0.449500,6,0.044800,0.039000,0.027100,0.025700,0.005600,0.025000,0.006200,2.748100,0.014100,0.013500,0.000600,-0.000000,5.370400,0.383600,4.086800,5.370400,0.383600,8.828000,0.573500,0.566200,0.000000,5,8.285200,5,0.474500,0.305700,1.302000,2.109300,78,51,50,70,9
006_524,1547572.263101,0.009600,0.494300,0.083700,7,0.500000,5.828400,0.416300,6,0.078000,0.072200,0.065000,0.064200,0.016900,0.063700,0.018500,8.261500,0.027000,0.025300,0.001700,0.012100,4.105300,0.293200,3.262200,4.105300,0.293200,14.634400,0.591000,0.581200,0.000000,5,8.547100,5,0.533700,0.357800,1.280000,2.017600,61,39,50,82,12
007_525,1535281.447670,0.010100,0.494300,0.041300,7,0.500000,6.421300,0.458700,7,0.035600,0.029900,0.011400,0.011300,0.002100,0.011100,0.002900,1.196500,-0.003400,-0.004100,0.000800,-0.003800,6.954600,0.496800,5.227900,6.954600,0.496800,7.229200,0.555000,0.568000,0.000000,5,8.271500,5,0.462800,0.319100,1.293200,2.076000,82,66,50,70,10
008_526,1656460.125532,0.008100,0.494300,0.044100,7,0.500000,6.382400,0.455900,7,0.038400,0.032700,0.023900,0.023900,0.006500,0.023600,0.007100,2.574800,0.005900,0.004800,0.001100,-0.000700,4.380000,0.312900,3.540900,4.380000,0.312900,7.714600,0.572200,0.585800,0.000000,5,7.691300,5,0.506600,0.368000,1.294300,2.067500,81,42,50,84,10
009_527,1474946.179004,0.007900,0.494300,0.036200,7,0.500000,6.493400,0.463800,7,0.030500,0.024800,0.015700,0.015100,0.004000,0.014700,0.005400,1.907800,0.000800,0.000900,-0.000200,-0.001100,4.623300,0.330200,3.585300,4.623300,0.330200,6.328200,0.568900,0.580000,0.000000,5,6.748400,5,0.497000,0.303200,1.277600,2.110900,85,44,50,75,13
010_528,1677820.460275,0.006100,0.494300,0.038300,7,0.500000,6.464300,0.461700,7,0.032500,0.026800,0.016300,0.016100,0.004000,0.015700,0.003400,1.303500,-0.001900,-0.003500,0.001700,-0.004300,4.937000,0.352600,3.833500,4.937000,0.352600,6.691300,0.566100,0.580800,0.705500,5,9.072800,5,0.457400,0.319000,1.297100,2.064200,84,47,57,69,10
011_529,1656076.062109,0.010500,0.494300,0.027800,7,0.500000,6.610600,0.472200,7,0.022100,0.016400,0.008800,0.008900,0.002700,0.008700,0.003700,0.826700,-0.006100,-0.006800,0.000700,-0.004400,4.260900,0.304400,3.320300,4.260900,0.304400,4.863500,0.573400,0.586200,0.736200,5,7.547800,5,0.463600,0.341400,1.262500,1.946800,89,41,58,72,15
012_530,1464041.416827,0.009000,0.494300,0.047300,7,0.500000,6.337600,0.452700,6,0.041600,0.035900,0.024200,0.022900,0.005100,0.022100,0.006100,2.398200,0.014200,0.013800,0.000400,-0.000600,5.180600,0.370000,4.050100,5.180600,0.370000,8.274300,0.572800,0.565300,0.000000,5,7.464900,5,0.497700,0.332700,1.277400,2.055300,79,49,50,78,13
013_531,1524422.930653,0.009600,0.494300,0.064400,7,0.500000,6.098900,0.435600,6,0.058600,0.052900,0.040200,0.039500,0.008800,0.039100,0.011200,4.977100,0.003500,0.002900,0.000600,0.005200,5.608300,0.400600,4.221600,5.608300,0.400600,11.255800,0.579000,0.570300,0.000000,5,7.679600,5,0.485700,0.347200,1.276000,2.056200,71,53,50,78,13
014_532,1593259.098313,0.008000,0.494300,0.035100,7,0.500000,6.508000,0.464900,7,0.029400,0.023700,0.013700,0.013900,0.003700,0.013700,0.005500,1.698900,0.004400,0.003700,0.000800,-0.002500,4.796500,0.342600,3.742000,4.796500,0.342600,6.145700,0.573600,0.586600,0.000000,5,8.388700,5,0.506400,0.323800,1.300800,2.139400,85,46,50,78,10
015_533,1562845.135075,0.010700,0.494300,0.012400,7,0.500000,6.826500,0.487600,8,0.006700,0.001000,-0.012400,-0.011000,-0.002700,-0.011000,-0.002600,-1.324600,-0.020700,-0.021200,0.000400,-0.009200,5.345300,0.381800,4.332200,5.345300,0.381800,2.167500,0.555600,0.588600,0.767600,5,8.135400,5,0.493500,0.359700,1.267600,2.034000,97,51,58,81,14
016_534,1465610.728461,0.011200,0.494300,0.025100,7,0.500000,6.648600,0.474900,8,0.019400,0.013700,0.001300,0.001800,0.000400,0.001600,0.002400,0.190700,-0.012400,-0.012600,0.000200,-0.005500,5.237800,0.374100,4.170200,5.237800,0.374100,4.389600,0.555700,0.588100,0.000000,5,7.358800,5,0.478600,0.320900,1.275200,2.107900,90,50,50,73,13
017_535,1461262.767679,0.017800,0.494300,0.029700,7,0.500000,6.584400,0.470300,7,0.024000,0.018200,0.003400,0.003900,0.000900,0.003800,0.002200,0.388100,-0.003800,-0.004300,0.000500,-0.005300,5.819600,0.415700,4.604900,5.819600,0.415700,5.191000,0.561500,0.574000,0.000000,5,7.601200,5,0.476100,0.346900,1.265600,2.030700,88,55,50,76,14
018_537,1650827.556810,0.008000,0.494300,-0.000500,7,0.500000,7.006600,0.500500,7,-0.006200,-0.011900,-0.022400,-0.021400,-0.005800,-0.021300,-0.005600,-2.689000,-0.005100,-0.005800,0.000700,-0.012900,4.997800,0.357000,3.833600,4.997800,0.357000,-0.082100,0.581900,0.594600,0.000000,5,8.263300,5,0.485500,0.333800,1.298800,2.106900,100,48,50,76,10
019_538,1639799.372739,0.015300,0.494300,0.016600,7,0.500000,6.767000,0.483400,7,0.010900,0.005200,-0.003500,-0.003300,-0.000900,-0.003400,-0.001800,-0.137900,-0.005900,-0.006200,0.000200,-0.006300,4.553300,0.325200,3.515400,4.553300,0.325200,2.910800,0.582900,0.594800,0.000000,5,8.316700,5,0.497000,0.298700,1.290400,2.120800,95,43,50,74,11
020_539,1623583.360028,0.005700,0.494300,0.075300,7,0.500000,5.945500,0.424700,6,0.069600,0.063900,0.053300,0.052100,0.011700,0.051300,0.012200,5.772500,0.025900,0.024200,0.001700,0.005900,4.884600,0.348900,3.849000,4.884600,0.348900,13.171700,0.579600,0.572700,0.000000,5,7.726500,5,0.512300,0.333200,1.296000,2.110400,65,47,50,79,10
021_540,1468169.148080,0.008600,0.494300,0.060800,7,0.500000,6.148800,0.439200,6,0.055100,0.049400,0.040300,0.038500,0.009000,0.037700,0.009000,4.399000,0.019000,0.018300,0.000600,0.003800,4.657800,0.332700,3.582100,4.657800,0.332700,10.632600,0.579000,0.570400,0.000000,5,8.345900,5,0.482100,0.338000,1.294600,2.124400,72,44,50,76,10
022_541,1555751.280787,0.009000,0.494300,0.054700,7,0.500000,6.234200,0.445300,6,0.049000,0.043300,0.032500,0.032200,0.007900,0.031900,0.009400,3.949600,0.000700,0.000100,0.000600,0.002900,5.024800,0.358900,3.883700,5.024800,0.358900,9.566000,0.581300,0.572100,0.000000,5,7.653900,5,0.509700,0.345200,1.292800,2.114600,76,48,50,80,10
023_542,1485832.688211,0.007100,0.494300,0.038700,7,0.500000,6.457900,0.461300,7,0.033000,0.027300,0.018000,0.017900,0.004800,0.017600,0.005000,2.068100,0.005200,0.004800,0.000400,-0.001300,4.548400,0.324900,3.627200,4.548400,0.324900,6.771500,0.571000,0.583300,0.000000,5,8.341200,5,0.493200,0.354400,1.246400,2.000100,83,43,50,80,18
024_544,1503980.513056,0.009600,0.494300,0.020800,7,0.500000,6.708800,0.479200,8,0.015100,0.009400,-0.003500,-0.002400,-0.000600,-0.002500,-0.001600,-0.411300,-0.015100,-0.015600,0.000400,-0.007100,5.222800,0.373100,4.247800,5.222800,0.373100,3.637000,0.555300,0.588000,0.000000,5,7.436500,5,0.517600,0.354500,1.277300,1.986600,92,50,50,82,13
025_546,1499680.446699,0.007800,0.494300,0.020100,7,0.500000,6.717900,0.479900,7,0.014400,0.008700,-0.007400,-0.006600,-0.001400,-0.006500,-0.001400,-0.448600,-0.006900,-0.007000,0.000100,-0.006900,6.262000,0.447300,4.811200,6.262000,0.447300,3.523500,0.559000,0.570600,0.000000,5,6.822800,5,0.443300,0.289400,1.291500,2.176600,93,60,50,62,11
026_547,1558527.346907,0.011700,0.494300,0.028100,7,0.500000,6.607200,0.471900,8,0.022300,0.016600,0.000900,0.001700,0.000400,0.001600,0.002300,0.170000,-0.014900,-0.015300,0.000400,-0.005800,5.973400,0.426700,4.746700,5.973400,0.426700,4.906300,0.552300,0.584000,0.000000,5,7.283500,5,0.492400,0.327500,1.275300,2.038900,89,57,50,77,13
027_548,1543248.540221,0.010100,0.494300,0.088900,7,0.500000,5.755800,0.411100,6,0.083200,0.077400,0.069900,0.068800,0.017300,0.068200,0.019300,9.106800,0.030300,0.028900,0.001400,0.014400,4.195600,0.299700,3.321100,4.195600,0.299700,15.541400,0.591000,0.580600,0.000000,5,8.513400,5,0.521500,0.351200,1.292200,2.049400,58,40,50,82,10
028_549,1701475.702688,0.005300,0.494300,0.064000,7,0.500000,6.103600,0.436000,7,0.058300,0.052600,0.040200,0.040300,0.009400,0.040000,0.013700,4.799100,0.010500,0.009100,0.001400,0.004100,5.244100,0.374600,4.159700,5.244100,0.374600,11.197300,0.570900,0.585100,0.773900,5,7.377500,5,0.525300,0.351600,1.303700,2.094000,71,50,58,82,9
029_550,1581524.266759,0.007900,0.494300,-0.024700,7,0.500000,7.346300,0.524700,7,-0.030500,-0.036200,-0.042200,-0.041500,-0.013700,-0.041500,-0.013000,-5.843900,-0.010500,-0.010500,0.000100,-0.020000,3.800900,0.271500,3.055700,3.800900,0.271500,-4.325200,0.583200,0.594800,0.000000,5,8.454200,5,0.532300,0.349000,1.308900,2.109700,88,36,50,81,8
030_551,1465203.280939,0.007400,0.494300,0.016900,7,0.500000,6.762900,0.483100,7,0.011200,0.005500,-0.013200,-0.012600,-0.002400,-0.012700,-0.004500,-1.091800,-0.006300,-0.006600,0.000300,-0.008500,6.837900,0.488400,5.263800,6.837900,0.488400,2.962000,0.551800,0.563800,0.000000,5,8.151200,5,0.450700,0.303000,1.271500,2.128500,94,65,50,66,14
031_552,1458712.481155,0.018200,0.494300,0.020500,7,0.500000,6.712700,0.479500,8,0.014800,0.009100,-0.002200,-0.001700,-0.000400,-0.002000,-0.002700,-0.113000,-0.014000,-0.013800,-0.000200,-0.005800,4.965300,0.354700,3.964400,4.965300,0.354700,3.588400,0.556700,0.588500,0.000000,5,6.755100,5,0.468000,0.325100,1.281500,2.063600,93,47,50,72,12
032_554,1548948.270872,0.010300,0.494300,0.053500,7,0.500000,6.251500,0.446500,6,0.047700,0.042000,0.030300,0.030000,0.007100,0.029700,0.008700,3.747300,-0.003600,-0.004000,0.000400,0.002600,5.294700,0.378200,4.049500,5.294700,0.378200,9.349700,0.578800,0.569800,0.000000,5,7.581800,5,0.510400,0.361900,1.291600,2.083200,76,50,50,82,11
