map,energy,population_deviation,estimated_vote_pct,pr_deviation,pr_seats,pr_pct,estimated_seats,estimated_seat_pct,fptp_seats,disproportionality,efficiency_gap,gamma,seats_bias,votes_bias,geometric_seats_bias,global_symmetry,declination,mean_median_statewide,mean_median_average_district,turnout_bias,lopsided_outcomes,competitive_districts,competitive_district_pct,responsiveness,responsive_districts,responsive_district_pct,overall_responsiveness,avg_dem_win_pct,avg_rep_win_pct,opportunity_districts,proportional_opportunities,coalition_districts,proportional_coalitions,reock,polsby_popper,county_splitting,district_splitting,proportionality,competitiveness,minority,compactness,splitting
036_568,1512554.928660,0.006700,0.494300,0.063500,7,0.500000,6.111500,0.436500,6,0.057700,0.052000,0.040600,0.038900,0.008400,0.038100,0.008800,4.576600,0.024300,0.024100,0.000300,0.004500,5.158500,0.368500,3.994200,5.158500,0.368500,11.097700,0.577000,0.568300,0.000000,5,7.590000,5,0.502200,0.328900,1.296500,2.107700,71,49,50,78,10
037_569,1740671.896416,0.010800,0.494300,0.048700,7,0.500000,6.317900,0.451300,7,0.043000,0.037300,0.029600,0.029700,0.008600,0.029400,0.009700,4.382700,0.009500,0.009300,0.000200,0.004700,4.126300,0.294700,3.335800,4.126300,0.294700,8.520100,0.584700,0.596500,0.000000,5,7.450500,5,0.497600,0.321500,1.320800,2.152300,78,39,50,77,6
038_570,1651057.776993,0.006100,0.494300,0.056400,7,0.500000,6.209900,0.443600,7,0.050700,0.045000,0.031800,0.031700,0.007100,0.031300,0.009300,3.397600,0.004500,0.003100,0.001400,0.000700,5.499600,0.392800,4.303400,5.499600,0.392800,9.868700,0.565900,0.580100,0.000000,5,7.727500,5,0.467500,0.277900,1.325300,2.192900,75,52,50,66,6
039_571,1786449.377907,0.006300,0.494300,0.066100,7,0.500000,6.074300,0.433900,6,0.060400,0.054700,0.047900,0.046800,0.012600,0.046200,0.011900,6.720100,0.024000,0.023200,0.000800,0.009700,4.057200,0.289800,3.193900,4.057200,0.289800,11.562700,0.597700,0.584700,0.000000,5,7.685300,5,0.465900,0.278100,1.333700,2.155300,70,39,50,66,4
040_572,1557064.139983,0.007100,0.494300,-0.011500,7,0.500000,7.161500,0.511500,8,-0.017300,-0.023000,-0.031100,-0.029600,-0.009100,-0.029400,-0.006800,-3.982200,-0.017900,-0.018100,0.000200,-0.015500,4.072600,0.290900,3.414700,4.072600,0.290900,-2.016900,0.569200,0.606000,0.000000,5,7.538200,5,0.518300,0.316600,1.286100,2.110500,94,39,50,77,12
041_573,1684328.674374,0.008100,0.494300,0.061000,7,0.500000,6.146100,0.439000,6,0.055300,0.049600,0.037400,0.036900,0.008400,0.036500,0.010500,4.592600,0.005000,0.004200,0.000800,0.004200,5.404200,0.386000,4.121000,5.404200,0.386000,10.666400,0.581200,0.572300,0.000000,5,8.514200,5,0.437400,0.272000,1.307300,2.175600,72,51,50,59,8
042_574,1557947.293216,0.008300,0.494300,0.028600,7,0.500000,6.600100,0.471400,7,0.022800,0.017100,0.001400,0.001500,0.000300,0.001300,0.002800,0.098000,-0.006600,-0.007300,0.000700,-0.006200,6.209500,0.443500,4.755300,6.209500,0.443500,4.994700,0.557900,0.570800,0.000000,5,7.602100,5,0.418400,0.321300,1.290300,2.152500,89,59,50,61,11
043_576,1630250.523899,0.023900,0.494300,0.005300,7,0.500000,6.925500,0.494700,8,-0.000400,-0.006100,-0.013500,-0.012700,-0.004000,-0.012700,-0.002500,-1.803700,-0.011300,-0.011900,0.000500,-0.010600,4.121300,0.294400,3.296700,4.121300,0.294400,0.930200,0.574000,0.613300,0.000000,5,8.660200,5,0.464600,0.300000,1.318400,2.206000,100,39,50,68,7
044_577,1707199.168182,0.012600,0.494300,0.000600,7,0.500000,6.992300,0.499400,7,-0.005200,-0.010900,-0.015400,-0.014900,-0.005500,-0.015100,-0.005200,-2.519500,-0.008600,-0.009200,0.000700,-0.012600,3.390400,0.242200,2.794200,3.390400,0.242200,0.096500,0.586700,0.599500,0.726700,5,7.736300,5,0.488100,0.305900,1.296300,2.078600,100,32,58,73,10
045_578,1559425.051941,0.018800,0.494300,0.060900,7,0.500000,6.148000,0.439100,6,0.055100,0.049400,0.040600,0.039900,0.010200,0.039400,0.009700,4.288800,0.014700,0.013200,0.001600,0.002700,4.527100,0.323400,3.540800,4.527100,0.323400,10.642900,0.580300,0.573000,0.000000,5,8.208700,5,0.480300,0.298200,1.313900,2.152100,72,43,50,71,8
046_579,1602658.438991,0.025700,0.494300,-0.018200,7,0.500000,7.254900,0.518200,8,-0.023900,-0.029600,-0.033800,-0.033200,-0.012300,-0.033300,-0.011300,-5.023200,-0.013800,-0.014100,0.000300,-0.018300,3.262000,0.233000,2.723100,3.262000,0.233000,-3.183600,0.572900,0.611200,0.000000,5,7.739400,5,0.513700,0.341000,1.310000,2.123900,91,31,50,80,8
047_580,1780816.535442,0.007400,0.494300,0.031500,7,0.500000,6.559400,0.468500,7,0.025800,0.020000,0.008200,0.007900,0.001900,0.007600,0.002700,0.909500,0.008000,0.007500,0.000600,-0.004200,5.190600,0.370800,4.067600,5.190600,0.370800,5.503300,0.567400,0.580000,0.893100,5,8.399900,5,0.467200,0.284700,1.334100,2.163500,87,49,59,66,4
048_581,1645629.521325,0.010000,0.494300,0.051600,7,0.500000,6.277200,0.448400,6,0.045900,0.040200,0.033400,0.032600,0.009200,0.032200,0.009200,4.709000,0.017900,0.017100,0.000800,0.004900,4.052800,0.289500,3.181500,4.052800,0.289500,9.028200,0.600100,0.586400,0.000000,5,7.481000,5,0.497200,0.311800,1.303100,2.063700,77,39,50,76,9
049_582,1532603.696119,0.011000,0.494300,0.074500,7,0.500000,5.957600,0.425500,6,0.068700,0.063000,0.053700,0.051600,0.011500,0.050600,0.010900,6.000400,0.022600,0.022000,0.000600,0.007500,4.726300,0.337600,3.627400,4.726300,0.337600,13.020700,0.576900,0.568800,0.000000,5,7.992400,5,0.505900,0.297300,1.305700,2.146600,66,45,50,74,8
050_583,1525223.888458,0.005900,0.494300,0.040800,7,0.500000,6.429500,0.459200,7,0.035000,0.029300,0.018200,0.017200,0.004000,0.016600,0.005500,1.827200,0.006400,0.006100,0.000400,-0.001900,5.105200,0.364700,3.951700,5.105200,0.364700,7.126700,0.563100,0.575300,0.000000,5,8.150500,5,0.480500,0.311800,1.300700,2.047300,82,49,50,72,10
051_585,1736190.492338,0.006500,0.494300,0.055600,7,0.500000,6.220900,0.444400,6,0.049900,0.044200,0.031600,0.031100,0.007000,0.030700,0.008700,3.745900,0.009100,0.008200,0.000900,0.002100,5.417900,0.387000,4.197000,5.417900,0.387000,9.731200,0.580100,0.571600,0.708600,5,6.727000,5,0.473300,0.332700,1.288700,2.067300,75,52,57,74,11
052_586,1525616.762280,0.009100,0.494300,0.071900,7,0.500000,5.992800,0.428100,6,0.066200,0.060500,0.048000,0.047500,0.010500,0.047000,0.013900,5.595500,0.011500,0.010500,0.001000,0.006200,5.314200,0.379600,4.191000,5.314200,0.379600,12.581500,0.578500,0.570600,0.000000,5,7.586500,5,0.527100,0.360000,1.284700,2.030400,67,51,50,82,12
053_587,1945412.100408,0.009800,0.494300,0.019700,7,0.500000,6.723800,0.480300,7,0.014000,0.008300,0.000900,0.001600,0.000500,0.001500,0.001700,0.129800,-0.008800,-0.008800,0.000000,-0.005400,4.091700,0.292300,3.290400,4.091700,0.292300,3.449800,0.575700,0.587200,0.745100,5,6.740600,5,0.400600,0.263000,1.289200,2.250400,93,39,58,50,11
054_589,1570163.618782,0.014900,0.494300,0.037300,7,0.500000,6.477500,0.462700,8,0.031600,0.025900,0.013100,0.013800,0.003300,0.013700,0.005100,1.427200,-0.016300,-0.017100,0.000800,-0.003200,5.394100,0.385300,4.236900,5.394100,0.385300,6.526500,0.557300,0.591600,0.000000,5,8.531500,5,0.462100,0.315100,1.296600,2.117300,84,51,50,70,10
056_594,1502503.184744,0.010300,0.494300,0.065200,7,0.500000,6.087100,0.434800,6,0.059500,0.053800,0.043800,0.042200,0.009700,0.041500,0.009900,4.983900,0.015400,0.014800,0.000700,0.005200,4.936700,0.352600,3.752200,4.936700,0.352600,11.403200,0.579200,0.570500,0.000000,5,8.176100,5,0.479100,0.309700,1.308400,2.124000,70,47,50,72,8
057_596,1679058.675200,0.023500,0.494300,0.025100,7,0.500000,6.648200,0.474900,7,0.019400,0.013700,0.002700,0.002300,0.000600,0.001800,0.004700,0.295000,-0.000300,-0.000400,0.000100,-0.005100,4.996200,0.356900,3.923200,4.996200,0.356900,4.394700,0.564700,0.576400,0.000000,5,7.552900,5,0.470900,0.288300,1.335400,2.153000,90,48,50,68,4
058_597,1484275.131932,0.008800,0.494300,0.040600,7,0.500000,6.431600,0.459400,7,0.034900,0.029200,0.018300,0.017800,0.004300,0.017300,0.004700,2.129000,0.004500,0.004600,-0.000100,-0.000700,4.918800,0.351300,3.891400,4.918800,0.351300,7.099800,0.565800,0.577100,0.000000,5,6.745300,5,0.506100,0.297700,1.295300,2.050700,83,47,50,74,10
059_598,1592995.457428,0.005200,0.494300,0.056500,7,0.500000,6.209500,0.443500,6,0.050700,0.045000,0.037600,0.036500,0.009800,0.036000,0.009500,5.257900,0.013800,0.013700,0.000100,0.006800,4.322600,0.308800,3.306700,4.322600,0.308800,9.874700,0.593700,0.580400,0.000000,5,8.195100,5,0.435800,0.294400,1.283900,2.182900,75,41,50,62,12
061_600,1513802.020811,0.022600,0.494300,0.037600,7,0.500000,6.474000,0.462400,8,0.031900,0.026100,0.014600,0.015000,0.003800,0.014900,0.005500,1.951000,-0.010200,-0.010600,0.000400,-0.001600,5.199200,0.371400,4.015100,5.199200,0.371400,6.569900,0.561400,0.596200,0.000000,5,6.751500,5,0.473600,0.313100,1.298900,2.136300,84,50,50,71,10
