map,energy,population_deviation,estimated_vote_pct,pr_deviation,pr_seats,pr_pct,estimated_seats,estimated_seat_pct,fptp_seats,disproportionality,efficiency_gap,gamma,seats_bias,votes_bias,geometric_seats_bias,global_symmetry,declination,mean_median_statewide,mean_median_average_district,turnout_bias,lopsided_outcomes,competitive_districts,competitive_district_pct,responsiveness,responsive_districts,responsive_district_pct,overall_responsiveness,avg_dem_win_pct,avg_rep_win_pct,opportunity_districts,proportional_opportunities,coalition_districts,proportional_coalitions,reock,polsby_popper,county_splitting,district_splitting,proportionality,competitiveness,minority,compactness,splitting
077_603,1554899.597573,0.010200,0.494300,0.045800,7,0.500000,6.359300,0.454200,7,0.040000,0.034300,0.016100,0.016200,0.003100,0.016100,0.005500,1.764200,-0.004900,-0.005700,0.000700,-0.002400,6.840900,0.488600,5.192600,6.840900,0.488600,8.003200,0.556700,0.569600,0.000000,5,8.501300,5,0.456200,0.304600,1.297500,2.047600,80,65,50,66,10
078_604,1556015.923654,0.017300,0.494300,0.046200,7,0.500000,6.353900,0.453800,6,0.040400,0.034700,0.020400,0.020200,0.004400,0.019900,0.005100,1.916300,0.005900,0.004500,0.001400,-0.002700,5.863900,0.418900,4.511600,5.863900,0.418900,8.070500,0.572100,0.566600,0.000000,5,9.219300,5,0.460900,0.312700,1.279900,2.098700,80,56,50,68,12
079_605,1606839.528340,0.006900,0.494300,0.062700,7,0.500000,6.121700,0.437300,6,0.057000,0.051300,0.039800,0.039100,0.009000,0.038600,0.010000,4.375400,0.012700,0.011300,0.001300,0.003100,5.138600,0.367000,4.016100,5.138600,0.367000,10.970400,0.579100,0.571600,0.000000,5,7.663700,5,0.515700,0.323100,1.302100,2.147200,71,49,50,78,9
080_606,1532256.950491,0.006900,0.494300,0.077900,7,0.500000,5.909400,0.422100,6,0.072200,0.066500,0.049800,0.048800,0.009100,0.048200,0.013100,5.432500,0.019800,0.018900,0.000900,0.005600,6.403800,0.457400,4.922000,6.403800,0.457400,13.622800,0.572900,0.566300,0.000000,5,7.470400,5,0.487000,0.368000,1.274900,1.986200,64,61,50,81,13
081_607,1480883.518557,0.011000,0.494300,0.025600,7,0.500000,6.641500,0.474400,7,0.019900,0.014200,0.000400,0.001000,0.000200,0.000800,0.001200,-0.002400,-0.005000,-0.005500,0.000600,-0.006300,5.562100,0.397300,4.402300,5.562100,0.397300,4.477600,0.562200,0.574700,0.000000,5,8.318400,5,0.520900,0.347400,1.287600,2.051300,90,53,50,81,12
082_608,1652904.441591,0.008400,0.494300,-0.034300,7,0.500000,7.480000,0.534300,9,-0.040000,-0.045700,-0.054400,-0.052600,-0.015100,-0.052300,-0.014000,-7.424500,-0.014000,-0.014700,0.000800,-0.024500,4.372600,0.312300,3.523400,4.372600,0.312300,-5.995400,0.562800,0.631200,0.000000,5,8.415900,5,0.523600,0.345600,1.308700,2.130100,83,42,50,80,8
083_609,1574194.915223,0.013900,0.494300,0.048400,7,0.500000,6.322400,0.451600,6,0.042700,0.037000,0.022000,0.021900,0.004600,0.021500,0.005600,2.281600,0.003600,0.002900,0.000700,-0.001200,5.835900,0.416900,4.609200,5.835900,0.416900,8.463600,0.571300,0.564700,0.000000,5,7.345500,5,0.508800,0.380200,1.265900,2.008000,79,56,50,85,14
084_610,1545982.109766,0.005500,0.494300,0.055800,7,0.500000,6.219200,0.444200,6,0.050100,0.044300,0.029200,0.029100,0.006100,0.028800,0.008700,3.144900,-0.001200,-0.002200,0.001000,0.000500,5.975100,0.426800,4.643500,5.975100,0.426800,9.753200,0.572000,0.565800,0.000000,5,7.625200,5,0.497600,0.360600,1.269000,2.027300,75,57,50,82,14
085_611,1769782.430222,0.005900,0.494300,0.048800,7,0.500000,6.316100,0.451200,6,0.043100,0.037400,0.025900,0.025600,0.006100,0.025300,0.007900,2.943300,0.013100,0.011800,0.001400,-0.000200,5.082400,0.363000,4.010500,5.082400,0.363000,8.542400,0.583000,0.574700,0.000000,5,8.343200,5,0.491200,0.370400,1.304300,2.097700,78,48,50,82,9
086_612,1522453.696566,0.008400,0.494300,0.031300,7,0.500000,6.562000,0.468700,8,0.025600,0.019900,0.003500,0.003900,0.000800,0.003800,0.001500,0.359100,-0.007500,-0.008300,0.000800,-0.005700,6.425300,0.458900,4.851100,6.425300,0.458900,5.471600,0.549300,0.581000,0.000000,5,7.646300,5,0.482900,0.338400,1.276500,2.051400,87,61,50,76,13
087_614,1470658.456379,0.018400,0.494300,0.060100,7,0.500000,6.158100,0.439900,6,0.054400,0.048700,0.039100,0.037300,0.008500,0.036400,0.008800,4.209600,0.026400,0.026000,0.000500,0.003500,4.696600,0.335500,3.672900,4.696600,0.335500,10.516400,0.577800,0.569200,0.000000,5,7.647300,5,0.466600,0.322500,1.282000,2.113200,73,45,50,72,12
088_615,1522422.876986,0.010400,0.494300,0.073200,7,0.500000,5.974800,0.426800,7,0.067500,0.061800,0.051000,0.050200,0.011600,0.049700,0.013900,6.339600,0.013900,0.013300,0.000600,0.008400,5.038700,0.359900,3.891600,5.038700,0.359900,12.805600,0.570500,0.583200,0.000000,5,7.602500,5,0.522500,0.352800,1.265800,2.051800,66,48,50,82,14
089_616,1460575.388274,0.009300,0.494300,0.028500,7,0.500000,6.601000,0.471500,7,0.022800,0.017100,0.003600,0.003300,0.000700,0.002900,0.003600,0.255200,0.002200,0.001800,0.000500,-0.005600,5.588900,0.399200,4.348600,5.588900,0.399200,4.984500,0.560400,0.572800,0.000000,5,8.392400,5,0.450700,0.305900,1.294200,2.131300,89,53,50,66,10
090_617,1457108.169900,0.007800,0.494300,0.014900,7,0.500000,6.791300,0.485100,8,0.009200,0.003500,-0.008500,-0.007600,-0.001900,-0.007700,-0.002000,-0.796000,-0.017600,-0.017500,-0.000100,-0.007500,5.055800,0.361100,4.096200,5.055800,0.361100,2.607400,0.556600,0.588600,0.000000,5,7.472900,5,0.470800,0.316700,1.284400,2.023800,95,48,50,71,12
